shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control,sphere,same_xx,factory_prepolish,1,41000,0,0,400,77.598812054834,0.02612351128309725,0.08619234738525751,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,0,1,400,77.47857887945334,0.01642222779859375,0.05582789719651009,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,0,2,400,77.52675053054246,0.018434900405485975,0.06181331128085241,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,0,3,400,77.60820796473583,0.019014042179711463,0.06311780308285163,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,0,4,400,77.70208433640852,0.02053566555659569,0.06927087323887024,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,1,0,400,77.3906432339559,0.014841850046072714,0.050903875839455714,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,1,1,400,75.20981335087596,0.015821626693477767,0.0543124996765769,83.25,100.0,100.0,100.0,83.25,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,1,2,400,75.50314355790317,0.014864711237941334,0.0505322515575142,89.25,100.0,100.0,100.0,89.25,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,1,3,400,77.49360540560131,0.017963899931852163,0.060162267711545654,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,1,4,400,77.62777002799471,0.017262601829560895,0.05796165054378383,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,2,0,400,77.3273903370718,0.013948368831642468,0.046961442471008495,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,2,1,400,77.12498314599043,0.011037916956806648,0.037066290625821396,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,2,2,400,77.33833796436672,0.014160294508643232,0.048122858084052235,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,2,3,400,77.49039440622933,0.021211152199122375,0.07202486407173912,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,2,4,400,77.64256654316156,0.01823701470341342,0.06120051181150741,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,3,0,400,77.36702463485808,0.017070647147210228,0.057785976274801296,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,3,1,400,77.4255838144265,0.01811127541850861,0.06171850478391887,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,3,2,400,77.55702072610455,0.01490982911903645,0.05074698356761965,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,3,3,400,77.59653218342655,0.016043807538518407,0.05438745231316458,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,41000,3,4,400,77.62065485407695,0.019778241459272018,0.06731668190545699,100.0,100.0,100.0,100.0,100.0,100.0,100.0
