shield_mode,direction_mode,surface_kind,sequences,safety_pass,quality_pass,force_overloads,thermal_overloads,unstable_overloads,sensor_fault_steps,mean_control_steps,max_raw_force_n,mean_final_all4_area_pct,mean_parent_force_action,mean_executed_force_action,mean_shield_step_fraction,min_force_action_cap
control,same_xx,flat,16,16,10,0,0,0,0,4140.625,9.4412202835083,93.16,0.6630338659857004,0.6630338659857004,0.0,1.0
control,same_xx,cylinder,16,14,10,2,0,0,0,3710.4375,13.528372764587402,93.09437500000001,0.6931671802474594,0.6931671802474594,0.0,1.0
control,same_xx,sphere,16,16,10,0,0,0,0,4142.875,11.761183738708496,93.16062500000001,0.6629949464569515,0.6629949464569515,0.0,1.0
control,same_xx,freeform,16,13,9,3,0,0,0,3563.0,14.18118953704834,93.075,0.7157619059113037,0.7157619059113037,0.0,1.0
control,cross_xy,flat,16,16,10,0,0,0,0,4132.5625,9.350665092468262,93.14375000000001,0.6614991858981648,0.6614991858981648,0.0,1.0
control,cross_xy,cylinder,16,14,10,2,0,0,0,3696.625,13.528372764587402,93.06625,0.6911844738534365,0.6911844738534365,0.0,1.0
control,cross_xy,sphere,16,16,10,0,0,0,0,4132.9375,11.462240219116211,93.144375,0.6608056320672013,0.6608056320672013,0.0,1.0
control,cross_xy,freeform,16,11,8,5,0,0,0,3411.6875,14.18118953704834,93.0325,0.7212778004246397,0.7212778004246397,0.0,1.0
static_cap,same_xx,flat,16,16,10,0,0,0,0,4140.625,9.4412202835083,93.16,0.6630338659857004,0.6630338659857004,0.0,1.0
static_cap,same_xx,cylinder,16,10,3,6,0,0,0,3021.5625,15.757790565490723,92.99,0.7220451104148453,0.42639781909312136,0.7716073580664977,0.5
static_cap,same_xx,sphere,16,16,9,0,0,0,0,4122.6875,11.905166625976562,93.063125,0.619421393816707,0.3675777690382639,0.6353915022111152,0.5
static_cap,same_xx,freeform,16,16,9,0,0,0,0,4140.75,13.25314998626709,93.06,0.6232900875019749,0.3741161885748572,0.625628670887617,0.5
static_cap,cross_xy,flat,16,16,10,0,0,0,0,4132.5625,9.350665092468262,93.14375000000001,0.6614991858981648,0.6614991858981648,0.0,1.0
static_cap,cross_xy,cylinder,16,11,5,5,0,0,0,3095.75,15.757790565490723,92.98875000000001,0.7145184188533653,0.42155392827053706,0.7639976245196907,0.5
static_cap,cross_xy,sphere,16,16,10,0,0,0,0,4116.75,11.628202438354492,93.043125,0.6180124563081684,0.3668301269693298,0.6333861343331894,0.5
static_cap,cross_xy,freeform,16,16,10,0,0,0,0,4133.4375,12.309715270996094,93.041875,0.6215093946196308,0.3734565984853899,0.6228199087966313,0.5
