shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,force_hard_violated,thermal_hard_violated,unstable_hard_violated,control_steps,contact_steps,sensor_fault_steps,raw_force_max_n,normal_alignment_error_max_deg,parent_force_action_mean,executed_force_action_mean,parent_feed_action_mean,executed_feed_action_mean,shield_step_fraction,force_action_cap_mean,force_action_cap_min,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10,surface_seed_base
control,cylinder,cross_xy,factory_prepolish,1,40000,success,True,True,False,False,False,3503,3403,0,11.866196632385254,48.528404235839844,0.5476493437461025,0.5476493437461025,-0.11135378967659017,-0.11135378967659017,0.0,1.0,1.0,70.73515978216898,74.97547468370576,0.12224960127767467,0.099985394842379,1.1633130685504443,1.0352680071701776,0.5910620976386651,0.44739073150300235,41.79404040480721,28.732504765069756,97.26,97.26,65.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.9,98.75,100.0,97.26,97.26,65.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.33000000000001,97.33,67.25,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.33000000000001,97.33,67.25,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,success,True,True,False,False,False,4219,4119,0,11.127102851867676,48.52824401855469,0.7010515270183849,0.7010515270183849,-0.43206919112153797,-0.43206919112153797,0.0,1.0,1.0,65.23049475872075,71.8805418209467,0.12742705911151617,0.1261850265547299,1.4045567538449721,1.3808288287028496,0.8675357318664196,0.6917916953739044,41.799341485202625,29.720050135641976,93.65,93.65,59.25,67.45,99.24,99.24,89.25,99.7,100.0,100.0,100.0,100.0,99.81,99.81,98.5,98.95,93.65,93.65,59.25,67.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.94,93.94,61.5,68.0,99.78,99.78,96.0,99.85,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,93.94,93.94,61.5,68.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,success,True,True,False,False,False,4232,4132,0,9.605216026306152,48.52824401855469,0.7027051073370505,0.7027051073370505,-0.4368377236714534,-0.4368377236714534,0.0,1.0,1.0,65.04439703884593,71.00982678022235,0.13072709766768353,0.13138871538469463,1.7768171317622778,1.632391797423759,1.3045163529444608,1.1243314413913317,41.79955472447519,29.724648654618168,93.60000000000001,93.6,58.5,67.3,97.94,97.94,72.75,97.85,100.0,100.0,100.0,100.0,99.81,99.81,98.25,99.05,93.60000000000001,93.6,58.5,67.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.77,93.77,60.0,68.0,98.71,98.71,81.5,99.15,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,93.77,93.77,60.0,68.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,cross_xy,legacy_stress,0,40000,fail_max_passes,False,True,False,False,False,5132,5032,0,10.469294548034668,48.528404235839844,0.837081445218445,0.837081445218445,-0.7113329116218751,-0.7113329116218751,0.0,1.0,1.0,53.71319128558401,62.65670580277005,0.11174944583640958,0.12899457954582566,1.8912524029635944,1.819073584092556,1.8578515036350947,1.62477790597901,41.15500107521274,29.607950226953673,79.64,79.64,37.5,58.35,95.11,95.11,71.0,83.4,100.0,100.0,100.0,100.0,99.51,99.51,96.25,98.2,79.64,79.64,37.5,58.35,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.31,81.31,45.5,61.65,97.42,97.42,75.5,90.9,100.0,100.0,100.0,100.0,99.92999999999999,99.93,98.5,100.0,81.31,81.31,45.5,61.65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,40000,success,True,True,False,False,False,3473,3373,0,12.179244041442871,48.528404235839844,0.535392121345088,0.535392121345088,-0.09510947078178947,-0.09510947078178947,0.0,1.0,1.0,70.73515978216898,74.93047627826603,0.12224960127767467,0.10094362978452605,1.1633130685504443,1.0393291207266233,0.5910620976386651,0.4448481366972006,41.79309965600738,28.77298890264543,97.26,97.26,65.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.9,98.75,100.0,97.26,97.26,65.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.32,97.32,67.0,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.32,97.32,67.0,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,success,True,True,False,False,False,4253,4153,0,10.578573226928711,48.52824401855469,0.7057614132968673,0.7057614132968673,-0.4446691871311296,-0.4446691871311296,0.0,1.0,1.0,65.23049475872075,71.85555594610017,0.12742705911151617,0.1336339299945099,1.4045567538449721,1.3888314024650859,0.8675357318664196,0.6870811432788889,41.798542894946934,29.341898419272937,93.65,93.65,59.25,67.45,99.24,99.24,89.25,99.7,100.0,100.0,100.0,100.0,99.81,99.81,98.5,98.95,93.65,93.65,59.25,67.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.94,93.94,61.5,68.0,99.79,99.79,96.25,99.85,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,93.94,93.94,61.5,68.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish_deep_stress,3,40000,success,True,True,False,False,False,4261,4161,0,11.472517967224121,48.52824401855469,0.7060699804138058,0.7060699804138058,-0.4475822743326531,-0.4475822743326531,0.0,1.0,1.0,65.04439703884593,70.99551911436538,0.13072709766768353,0.13840017038548386,1.7768171317622778,1.8975209330132108,1.3045163529444608,1.1177227401797345,41.798434318182466,29.348849910249136,93.60000000000001,93.6,58.5,67.3,97.94,97.94,72.75,97.85,100.0,100.0,100.0,100.0,99.81,99.81,98.25,99.05,93.60000000000001,93.6,58.5,67.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.83,93.83,60.25,68.0,98.72999999999999,98.73,82.0,99.15,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,93.83,93.83,60.25,68.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,legacy_stress,0,40000,fail_max_passes,False,True,False,False,False,4994,4894,0,10.666433334350586,48.528404235839844,0.8164094979555895,0.8164094979555895,-0.6755600318411111,-0.6755600318411111,0.0,1.0,1.0,53.71319128558401,61.84490219771349,0.11174944583640958,0.13083959716872703,1.8912524029635944,1.8316901709493334,1.8578515036350947,1.6266977933611688,41.155193170977036,29.470723143072547,79.64,79.64,37.5,58.35,95.11,95.11,71.0,83.4,100.0,100.0,100.0,100.0,99.51,99.51,96.25,98.2,79.64,79.64,37.5,58.35,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.44,81.44,46.5,61.7,97.43,97.43,75.5,90.9,100.0,100.0,100.0,100.0,99.9,99.9,98.25,99.85,81.44,81.44,46.5,61.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40000
control,cylinder,same_xx,factory_prepolish,1,41000,success,True,True,False,False,False,3438,3338,0,12.64782428741455,48.528404235839844,0.513403055412503,0.513403055412503,-0.07602520623699983,-0.07602520623699983,0.0,1.0,1.0,72.64944658942865,75.74865722573753,0.10204508373711749,0.09627500385485054,0.8052971899065311,0.8552731641035687,0.38106102838155587,0.25784031008590846,41.05785113949881,29.196886947839857,98.65,98.65,80.25,98.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,98.65,98.65,80.25,98.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.9,98.9,83.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.9,98.9,83.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41000
control,cylinder,same_xx,factory_prepolish_deep_defect,2,41000,success,True,True,False,False,False,3717,3617,0,10.172855377197266,48.52824401855469,0.5715899421666334,0.5715899421666334,-0.21997073313678853,-0.21997073313678853,0.0,1.0,1.0,70.56096003979579,74.72663646374953,0.10317968719405735,0.10513014410281513,0.9463934815775794,1.0439448842668537,0.6843423906818914,0.4939637087966521,41.057827143798384,29.325173417670815,97.37,97.37,79.25,87.3,99.89,99.89,97.75,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,97.37,97.37,79.25,87.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.98,97.98,83.0,89.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.98,97.98,83.0,89.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41000
