shield_mode,surface_seed_base,scope,sequences,safety_pass,quality_pass,force_overloads,thermal_overloads,unstable_overloads,sensor_fault_steps,mean_control_steps,max_raw_force_n,mean_final_all4_area_pct,mean_parent_force_action,mean_executed_force_action,mean_shield_step_fraction,min_force_action_cap
control,40000,flat,8,8,6,0,0,0,0,4264.75,9.350665092468262,91.6175,0.6991525471766311,0.6991525471766311,0.0,1.0
control,40000,curved,24,23,17,1,0,0,0,4182.125,13.385598182678223,91.60624999999999,0.6998206783419869,0.6998206783419869,0.0,1.0
control,41000,flat,8,8,6,0,0,0,0,4017.25,9.283011436462402,94.7375,0.6197870179906109,0.6197870179906109,0.0,1.0
control,41000,curved,24,21,16,3,0,0,0,3781.375,13.528372764587402,94.70916666666666,0.6619609495083484,0.6619609495083484,0.0,1.0
control,42000,flat,8,8,6,0,0,0,0,3867.0,9.4412202835083,95.1125,0.5520930081521993,0.5520930081521993,0.0,1.0
control,42000,curved,24,24,18,0,0,0,0,3874.4166666666665,13.234941482543945,95.10625,0.5525599947988525,0.5525599947988525,0.0,1.0
control,43000,flat,8,8,2,0,0,0,0,4397.375,9.315922737121582,91.13999999999999,0.778033530448289,0.778033530448289,0.0,1.0
control,43000,curved,24,16,6,8,0,0,0,3267.125,14.18118953704834,90.96041666666667,0.8491196699914738,0.8491196699914738,0.0,1.0
static_cap,40000,flat,8,8,6,0,0,0,0,4264.75,9.350665092468262,91.6175,0.6991525471766311,0.6991525471766311,0.0,1.0
static_cap,40000,curved,24,20,14,4,0,0,0,3644.0416666666665,12.14722728729248,91.45666666666666,0.7046969491863696,0.40354794079000295,0.7154269102362226,0.5
static_cap,41000,flat,8,8,6,0,0,0,0,4017.25,9.283011436462402,94.7375,0.6197870179906109,0.6197870179906109,0.0,1.0
static_cap,41000,curved,24,21,15,3,0,0,0,3739.875,15.757790565490723,94.59958333333334,0.6323158453265847,0.374634327211808,0.6360880844061764,0.5
static_cap,42000,flat,8,8,6,0,0,0,0,3867.0,9.4412202835083,95.1125,0.5520930081521993,0.5520930081521993,0.0,1.0
static_cap,42000,curved,24,20,14,4,0,0,0,3344.2083333333335,12.309715270996094,95.03375,0.570802491320998,0.3475818794306398,0.6073014534335294,0.5
static_cap,43000,flat,8,8,2,0,0,0,0,4397.375,9.315922737121582,91.13999999999999,0.778033530448289,0.778033530448289,0.0,1.0
static_cap,43000,curved,24,24,3,0,0,0,0,4359.166666666667,13.62169361114502,91.03458333333333,0.7047159551758421,0.427524139521882,0.743071017800566,0.5
