checkpoint,env,sequence,pass,tile_x,tile_y,gu_current,gu_optimistic_ceiling,ceiling_margin_to_target,clearcoat_min_um,limiting_term_current,disposition
finish_rule,32,0,1,0,0,75.391,77.008,7.008,48.908,q_uniformity,target_met
finish_rule,32,0,1,0,1,72.956,76.804,6.804,48.691,q_scratch,target_met
finish_rule,32,0,1,0,2,71.538,76.702,6.702,48.584,q_scratch,target_met
finish_rule,32,0,1,0,3,74.564,76.561,6.561,48.436,q_clearcoat,target_met
finish_rule,32,0,1,0,4,74.971,76.594,6.594,48.471,q_uniformity,target_met
finish_rule,32,0,1,1,0,74.635,76.75,6.75,48.634,q_uniformity,target_met
finish_rule,32,0,1,1,1,75.875,76.71,6.71,48.592,q_clearcoat,target_met
finish_rule,32,0,1,1,2,75.797,76.617,6.617,48.495,q_clearcoat,target_met
finish_rule,32,0,1,1,3,74.12,76.444,6.444,48.315,q_clearcoat,target_met
finish_rule,32,0,1,1,4,69.138,76.467,6.467,48.339,q_scratch,plausible_rework_candidate
finish_rule,32,0,1,2,0,74.596,76.721,6.721,48.603,q_uniformity,target_met
finish_rule,32,0,1,2,1,73.387,76.669,6.669,48.549,q_scratch,target_met
finish_rule,32,0,1,2,2,72.846,76.4,6.4,48.269,q_uniformity,target_met
finish_rule,32,0,1,2,3,69.748,76.433,6.433,48.304,q_scratch,plausible_rework_candidate
finish_rule,32,0,1,2,4,69.71,76.474,6.474,48.328,q_scratch,plausible_rework_candidate
finish_rule,32,0,1,3,0,75.153,76.772,6.772,48.658,q_uniformity,target_met
finish_rule,32,0,1,3,1,75.43,76.548,6.548,48.422,q_clearcoat,target_met
finish_rule,32,0,1,3,2,69.068,76.51,6.51,48.383,q_scratch,plausible_rework_candidate
finish_rule,32,0,1,3,3,66.654,76.066,6.066,47.897,q_scratch,plausible_rework_candidate
finish_rule,32,0,1,3,4,74.97,76.146,6.146,47.668,q_clearcoat,target_met
finish_rule,32,0,1,4,0,75.052,76.827,6.827,48.627,q_uniformity,target_met
finish_rule,32,0,1,4,1,75.667,76.572,6.572,48.443,q_clearcoat,target_met
finish_rule,32,0,1,4,2,75.062,76.516,6.516,48.378,q_uniformity,target_met
finish_rule,32,0,1,4,3,75.023,76.16,6.16,47.68,q_clearcoat,target_met
finish_rule,32,0,1,4,4,74.865,76.48,6.48,47.505,q_uniformity,target_met
finish_rule,36,0,1,0,0,74.249,76.806,6.806,48.693,q_uniformity,target_met
finish_rule,36,0,1,0,1,74.318,76.064,6.064,47.448,q_clearcoat,target_met
finish_rule,36,0,1,0,2,74.164,75.636,5.636,45.668,q_clearcoat,target_met
finish_rule,36,0,1,0,3,74.139,75.576,5.576,44.415,q_clearcoat,target_met
finish_rule,36,0,1,0,4,60.417,76.153,6.153,44.166,q_ra,plausible_rework_candidate
finish_rule,36,0,1,1,0,76.114,76.926,6.926,48.821,q_clearcoat,target_met
finish_rule,36,0,1,1,1,75.02,76.02,6.02,47.427,q_clearcoat,target_met
finish_rule,36,0,1,1,2,74.592,75.539,5.539,45.671,q_clearcoat,target_met
finish_rule,36,0,1,1,3,74.731,75.367,5.367,44.407,q_clearcoat,target_met
finish_rule,36,0,1,1,4,60.299,75.878,5.878,44.162,q_scratch,plausible_rework_candidate
finish_rule,36,0,1,2,0,75.153,76.828,6.828,48.717,q_uniformity,target_met
finish_rule,36,0,1,2,1,74.93,75.891,5.891,47.329,q_clearcoat,target_met
finish_rule,36,0,1,2,2,55.014,75.513,5.513,45.781,q_scratch,plausible_rework_candidate
finish_rule,36,0,1,2,3,66.153,75.404,5.404,44.667,q_scratch,plausible_rework_candidate
finish_rule,36,0,1,2,4,72.3,75.907,5.907,44.489,q_scratch,target_met
finish_rule,36,0,1,3,0,75.397,76.72,6.72,48.602,q_uniformity,target_met
finish_rule,36,0,1,3,1,62.611,76.074,6.074,47.526,q_scratch,plausible_rework_candidate
finish_rule,36,0,1,3,2,63.19,75.527,5.527,45.921,q_scratch,plausible_rework_candidate
finish_rule,36,0,1,3,3,71.577,75.656,5.656,45.102,q_scratch,target_met
finish_rule,36,0,1,3,4,72.13,75.932,5.932,44.875,q_scratch,target_met
finish_rule,36,0,1,4,0,74.615,76.731,6.731,48.614,q_uniformity,target_met
finish_rule,36,0,1,4,1,74.867,76.107,6.107,47.567,q_clearcoat,target_met
finish_rule,36,0,1,4,2,72.693,75.771,5.771,46.214,q_clearcoat,target_met
finish_rule,36,0,1,4,3,71.802,75.743,5.743,45.318,q_scratch,target_met
finish_rule,36,0,1,4,4,70.136,75.98,5.98,45.085,q_scratch,target_met
finish_rule,43,0,1,0,0,75.1,76.674,6.674,45.586,q_uniformity,target_met
finish_rule,43,0,1,0,1,74.818,76.196,6.196,45.583,q_clearcoat,target_met
finish_rule,43,0,1,0,2,74.704,76.108,6.108,46.014,q_clearcoat,target_met
finish_rule,43,0,1,0,3,69.031,76.022,6.022,46.31,q_scratch,plausible_rework_candidate
finish_rule,43,0,1,0,4,69.682,76.085,6.085,46.531,q_scratch,plausible_rework_candidate
finish_rule,43,0,1,1,0,74.542,75.982,5.982,44.593,q_clearcoat,target_met
finish_rule,43,0,1,1,1,74.592,75.859,5.859,44.805,q_clearcoat,target_met
finish_rule,43,0,1,1,2,73.141,75.497,5.497,44.91,q_clearcoat,target_met
finish_rule,43,0,1,1,3,72.938,75.565,5.565,45.232,q_clearcoat,target_met
finish_rule,43,0,1,1,4,71.436,75.52,5.52,45.305,q_scratch,target_met
finish_rule,43,0,1,2,0,73.606,75.66,5.66,43.61,q_clearcoat,target_met
finish_rule,43,0,1,2,1,74.604,75.468,5.468,43.651,q_clearcoat,target_met
finish_rule,43,0,1,2,2,74.378,74.965,4.965,43.499,q_clearcoat,target_met
