checkpoint,env,sequence,outcome,disposition,passes,best_observed_pass,best_observed_gu,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,thermal_damage_peak,quality_ok,safety_ok
finish_rule,6,0,success,success,1,1,71.67,57.21,71.67,0.1151,1.324,1.536,0.941,38.58,35.9,0.008119,True,True
finish_rule,31,0,success,success,1,1,72.35,63.04,72.35,0.1129,1.161,1.578,0.865,38.28,35.9,0.008117,True,True
finish_rule,32,0,success,success,1,1,73.8,61.57,73.8,0.1088,0.901,1.031,0.474,47.5,35.9,0.008118,True,True
finish_rule,36,0,success,success,1,1,71.1,59.6,71.1,0.1111,1.536,1.626,1.012,44.16,35.9,0.008118,True,True
finish_rule,43,0,success,success,1,1,72.98,61.89,72.98,0.1024,1.169,1.645,1.031,41.36,35.9,0.008118,True,True
finish_rule,47,0,success,success,1,1,70.91,58.11,70.91,0.1122,1.265,1.535,1.049,39.95,35.9,0.008118,True,True
finish_rule,51,0,success,success,1,1,70.66,53.45,70.66,0.1202,1.098,1.247,0.647,38.23,35.9,0.008118,True,True
finish_rule,93,0,success,success,1,1,70.97,60.46,70.97,0.112,1.321,1.613,1.017,40.8,35.9,0.008119,True,True
finish_rule,94,0,success,success,1,1,71.68,59.75,71.68,0.0948,1.113,1.374,0.813,40.49,35.9,0.008118,True,True
finish_rule,97,0,success,success,1,1,70.22,65.22,70.22,0.1461,1.805,1.858,1.306,40.89,35.9,0.008118,True,True
finish_rule,98,0,success,success,1,1,72.36,59.25,72.36,0.1077,0.906,0.995,0.484,38.35,35.9,0.008118,True,True
finish_rule,1,0,success,success,2,2,72.09,52.13,72.09,0.1474,1.338,1.759,0.705,37.32,35.9,0.008118,True,True
finish_rule,2,0,success,success,2,2,72.26,47.91,72.26,0.1147,1.181,1.457,0.638,39.21,35.9,0.008119,True,True
finish_rule,3,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,69.74,45.11,69.74,0.2089,1.651,1.634,0.586,43.3,37.12,0.027276,False,True
finish_rule,4,0,success,success,2,2,70.85,51.78,70.85,0.1741,1.81,1.733,0.971,37.57,35.9,0.008118,True,True
finish_rule,5,0,success,success,2,2,70.63,46.59,70.63,0.1714,1.46,1.505,0.508,40.24,35.9,0.008118,True,True
finish_rule,7,0,success,success,2,2,72.01,58.69,72.01,0.1522,1.553,1.919,0.94,38.72,35.9,0.008118,True,True
finish_rule,8,0,success,success,2,2,72.58,58.63,72.58,0.1492,1.442,1.726,0.649,37.32,35.9,0.008118,True,True
finish_rule,9,0,success,success,2,2,70.44,47.75,70.44,0.1567,1.49,1.68,0.822,39.21,35.9,0.008118,True,True
finish_rule,10,0,success,success,2,2,72.5,53.79,72.5,0.1296,1.345,1.791,0.672,41.86,35.9,0.008118,True,True
finish_rule,11,0,success,success,2,2,70.33,46.44,70.33,0.1829,1.691,1.566,0.468,41.49,35.9,0.008118,True,True
finish_rule,12,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,69.65,43.46,69.65,0.1892,1.465,1.843,0.704,40.41,37.16,0.027718,False,True
finish_rule,13,0,success,success,2,2,71.93,59.79,71.93,0.1536,1.558,1.688,0.89,37.7,35.9,0.008119,True,True
finish_rule,14,0,success,success,2,2,71.14,53.13,71.14,0.1498,1.284,1.661,0.7,37.2,35.9,0.008118,True,True
