checkpoint,env,sequence,pass,tile_x,tile_y,gu_current,gu_optimistic_ceiling,gu_if_min_baseline,gu_if_cellwise_worst,gu_ceiling_if_min_baseline,gu_ceiling_if_cellwise_worst,ceiling_margin_to_target,q_clearcoat_current,q_clearcoat_min_baseline,q_clearcoat_cellwise_worst,clearcoat_initial_min_um,clearcoat_initial_mean_um,clearcoat_min_um,limiting_term_current,disposition
finish_rule,6,0,1,0,0,68.904,78.0,68.904,68.904,78.0,78.0,8.0,0.896909,0.906012,0.893254,41.074,41.187,40.033,q_scratch,plausible_rework_candidate
finish_rule,6,0,1,0,1,76.266,78.0,76.266,76.266,78.0,78.0,8.0,0.8877,0.894989,0.88493,41.265,41.357,40.082,q_uniformity,target_met
finish_rule,6,0,1,0,2,75.273,78.0,75.273,75.273,78.0,78.0,8.0,0.848517,0.86971,0.862594,41.048,41.324,39.608,q_uniformity,target_met
finish_rule,6,0,1,0,3,72.526,78.0,72.526,72.526,78.0,78.0,8.0,0.843005,0.878934,0.863086,40.462,40.908,39.196,q_scratch,target_met
finish_rule,6,0,1,0,4,70.563,78.0,70.563,70.563,78.0,78.0,8.0,0.863112,0.890539,0.864276,40.14,40.462,39.03,q_scratch,target_met
finish_rule,6,0,1,1,0,64.268,78.0,64.268,64.268,78.0,78.0,8.0,0.880795,0.905713,0.886004,40.691,40.993,39.683,q_scratch,plausible_rework_candidate
finish_rule,6,0,1,1,1,65.119,78.0,65.119,65.119,78.0,78.0,8.0,0.861797,0.888012,0.883625,41.103,41.441,39.86,q_scratch,plausible_rework_candidate
finish_rule,6,0,1,1,2,72.393,78.0,72.393,72.393,78.0,78.0,8.0,0.849529,0.875714,0.875714,41.486,41.84,40.058,q_scratch,target_met
finish_rule,6,0,1,1,3,75.937,78.0,75.937,75.937,78.0,78.0,8.0,0.816503,0.870263,0.864847,41.106,41.838,39.665,q_scratch,target_met
finish_rule,6,0,1,1,4,57.922,78.0,57.922,57.922,78.0,78.0,8.0,0.809619,0.867212,0.858861,40.866,41.639,39.423,q_scratch,plausible_rework_candidate
finish_rule,6,0,1,2,0,75.72,78.0,75.72,75.72,78.0,78.0,8.0,0.836343,0.878083,0.858332,40.0,40.499,38.781,q_uniformity,target_met
finish_rule,6,0,1,2,1,65.799,78.0,65.799,65.799,78.0,78.0,8.0,0.819907,0.877345,0.864551,40.649,41.396,39.343,q_scratch,plausible_rework_candidate
finish_rule,6,0,1,2,2,71.716,78.0,71.716,71.716,78.0,78.0,8.0,0.840458,0.881691,0.867722,41.914,42.498,40.504,q_scratch,target_met
finish_rule,6,0,1,2,3,72.423,78.0,72.423,72.423,78.0,78.0,8.0,0.841836,0.888555,0.867311,42.477,43.17,41.087,q_scratch,target_met
finish_rule,6,0,1,2,4,65.609,78.0,65.609,65.609,78.0,78.0,8.0,0.826208,0.881033,0.879365,42.54,43.372,41.048,q_scratch,plausible_rework_candidate
finish_rule,6,0,1,3,0,75.833,78.0,75.833,75.833,78.0,78.0,8.0,0.854002,0.857505,0.857438,40.0,40.041,38.575,q_uniformity,target_met
finish_rule,6,0,1,3,1,76.834,78.0,76.834,76.834,78.0,78.0,8.0,0.776907,0.859267,0.85115,40.036,41.1,38.624,q_uniformity,target_met
finish_rule,6,0,1,3,2,71.579,78.0,71.579,71.579,78.0,78.0,8.0,0.814372,0.871559,0.868582,42.075,42.923,40.524,q_scratch,target_met
finish_rule,6,0,1,3,3,72.072,77.992,72.072,72.072,77.992,77.992,7.992,0.834946,0.885331,0.880936,43.472,44.285,41.928,q_scratch,target_met
finish_rule,6,0,1,3,4,75.928,77.912,75.928,75.928,77.912,77.912,7.912,0.845005,0.888158,0.879898,44.175,44.899,42.59,q_uniformity,target_met
finish_rule,6,0,1,4,0,77.055,78.0,77.055,77.055,78.0,78.0,8.0,0.874664,0.874664,0.874664,40.0,40.0,38.747,q_uniformity,target_met
finish_rule,6,0,1,4,1,76.733,78.0,76.733,76.733,78.0,78.0,8.0,0.808368,0.873316,0.873316,40.0,40.803,38.733,q_uniformity,target_met
finish_rule,6,0,1,4,2,70.497,78.0,70.497,70.497,78.0,78.0,8.0,0.813836,0.885964,0.881329,42.004,43.067,40.635,q_scratch,target_met
finish_rule,6,0,1,4,3,69.199,77.992,69.199,69.199,77.992,77.992,7.992,0.846523,0.894477,0.891372,44.075,44.872,42.589,q_scratch,plausible_rework_candidate
finish_rule,6,0,1,4,4,75.687,77.933,75.687,75.687,77.933,77.933,7.933,0.870843,0.89797,0.89797,45.272,45.748,43.714,q_uniformity,target_met
finish_rule,31,0,1,0,0,75.634,78.0,75.634,75.634,78.0,78.0,8.0,0.892479,0.930725,0.929882,45.19,45.841,44.138,q_uniformity,target_met
finish_rule,31,0,1,0,1,75.22,78.0,75.22,75.22,78.0,78.0,8.0,0.83419,0.897083,0.897083,43.63,44.658,42.227,q_uniformity,target_met
finish_rule,31,0,1,0,2,75.863,78.0,75.863,75.863,78.0,78.0,8.0,0.796198,0.872557,0.872557,41.514,42.618,40.047,q_uniformity,target_met
finish_rule,31,0,1,0,3,73.698,78.0,73.698,73.698,78.0,78.0,8.0,0.800207,0.840096,0.840096,40.0,40.498,38.401,q_scratch,target_met
finish_rule,31,0,1,0,4,75.275,78.0,75.275,75.275,78.0,78.0,8.0,0.846326,0.846326,0.846326,40.0,40.0,38.463,q_uniformity,target_met
finish_rule,31,0,1,1,0,76.837,78.0,76.837,76.837,78.0,78.0,8.0,0.861478,0.917677,0.917677,43.939,44.849,42.792,q_uniformity,target_met
finish_rule,31,0,1,1,1,60.721,78.0,60.721,60.721,78.0,78.0,8.0,0.822153,0.889801,0.889801,42.842,43.898,41.426,q_scratch,plausible_rework_candidate
finish_rule,31,0,1,1,2,66.767,78.0,66.767,66.767,78.0,78.0,8.0,0.811304,0.876337,0.871628,41.355,42.265,39.951,q_scratch,plausible_rework_candidate
