checkpoint,env,sequence,outcome,passes,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,thermal_damage_peak,quality_ok,safety_ok
finish_rule,32,0,success,1,63.61,73.45,0.1088,0.901,1.031,0.474,47.5,35.9,0.008118,True,True
finish_rule,36,0,success,1,61.51,70.82,0.1111,1.536,1.626,1.012,44.16,35.9,0.008118,True,True
finish_rule,43,0,success,1,63.13,71.76,0.1024,1.169,1.645,1.031,41.36,35.9,0.008118,True,True
finish_rule,81,0,success,1,52.1,70.04,0.1346,1.414,1.355,0.885,48.22,35.9,0.008118,True,True
finish_rule,94,0,success,1,61.97,70.46,0.0948,1.113,1.374,0.813,40.49,35.9,0.008118,True,True
finish_rule,0,0,fail_infeasible,2,48.02,62.42,0.1819,1.818,1.829,0.995,37.11,35.9,0.008118,False,True
finish_rule,3,0,fail_quality_regression,2,49.7,68.58,0.2072,1.657,1.634,0.62,43.37,36.03,0.014837,False,True
finish_rule,4,0,fail_quality_regression,2,55.12,67.51,0.1742,1.809,1.733,0.968,37.56,35.9,0.008118,False,True
finish_rule,6,0,fail_quality_regression,2,59.39,68.76,0.123,1.108,1.536,0.501,37.74,35.9,0.008119,False,True
finish_rule,7,0,fail_quality_regression,2,60.55,68.98,0.1528,1.492,1.919,0.928,38.7,35.9,0.008118,False,True
finish_rule,8,0,fail_quality_regression,2,60.87,67.37,0.1499,1.438,1.726,0.632,37.28,35.9,0.008118,False,True
finish_rule,9,0,fail_quality_regression,2,51.67,68.16,0.1564,1.493,1.68,0.829,39.22,35.9,0.008118,False,True
finish_rule,10,0,success,2,56.88,70.58,0.1296,1.344,1.791,0.671,41.86,35.9,0.008118,True,True
finish_rule,11,0,fail_quality_regression,2,50.62,68.81,0.1821,1.694,1.566,0.485,41.54,35.9,0.008118,False,True
finish_rule,12,0,fail_quality_regression,2,47.87,67.8,0.1872,1.585,1.843,0.733,40.47,36.3,0.017485,False,True
finish_rule,13,0,fail_quality_regression,2,61.59,68.48,0.1544,1.555,1.688,0.879,37.66,35.9,0.008119,False,True
