checkpoint,env,sequence,pass,tile_x,tile_y,gu_current,gu_optimistic_ceiling,gu_if_min_baseline,gu_if_cellwise_worst,gu_ceiling_if_min_baseline,gu_ceiling_if_cellwise_worst,ceiling_margin_to_target,q_clearcoat_current,q_clearcoat_min_baseline,q_clearcoat_cellwise_worst,clearcoat_initial_min_um,clearcoat_initial_mean_um,clearcoat_min_um,limiting_term_current,disposition
finish_rule,32,0,1,0,0,75.391,77.008,75.391,75.391,77.008,77.008,7.008,0.927201,0.927201,0.927201,50.0,50.0,48.908,q_uniformity,target_met
finish_rule,32,0,1,0,1,72.956,76.804,72.956,72.956,76.804,76.804,6.804,0.912765,0.912765,0.912765,50.0,50.0,48.691,q_scratch,target_met
finish_rule,32,0,1,0,2,71.538,76.702,71.538,71.538,76.702,76.702,6.702,0.905592,0.905592,0.905592,50.0,50.0,48.584,q_scratch,target_met
finish_rule,32,0,1,0,3,74.564,76.561,74.564,74.564,76.561,76.561,6.561,0.895751,0.895751,0.895751,50.0,50.0,48.436,q_clearcoat,target_met
finish_rule,32,0,1,0,4,74.971,76.594,74.971,74.971,76.594,76.594,6.594,0.898057,0.898057,0.898057,50.0,50.0,48.471,q_uniformity,target_met
finish_rule,32,0,1,1,0,74.635,76.75,74.635,74.635,76.75,76.75,6.75,0.908929,0.908929,0.908929,50.0,50.0,48.634,q_uniformity,target_met
finish_rule,32,0,1,1,1,75.875,76.71,75.875,75.875,76.71,76.71,6.71,0.906141,0.906141,0.906141,50.0,50.0,48.592,q_clearcoat,target_met
finish_rule,32,0,1,1,2,75.797,76.617,75.797,75.797,76.617,76.617,6.617,0.899668,0.899668,0.899668,50.0,50.0,48.495,q_clearcoat,target_met
finish_rule,32,0,1,1,3,74.12,76.444,74.12,74.12,76.444,76.444,6.444,0.887658,0.887658,0.887658,50.0,50.0,48.315,q_clearcoat,target_met
finish_rule,32,0,1,1,4,69.138,76.467,69.138,69.138,76.467,76.467,6.467,0.889243,0.889243,0.889243,50.0,50.0,48.339,q_scratch,plausible_rework_candidate
finish_rule,32,0,1,2,0,74.596,76.721,74.596,74.596,76.721,76.721,6.721,0.906895,0.906895,0.906895,50.0,50.0,48.603,q_uniformity,target_met
finish_rule,32,0,1,2,1,73.387,76.669,73.387,73.387,76.669,76.669,6.669,0.903244,0.903244,0.903244,50.0,50.0,48.549,q_scratch,target_met
finish_rule,32,0,1,2,2,72.846,76.4,72.846,72.846,76.4,76.4,6.4,0.884583,0.884583,0.884583,50.0,50.0,48.269,q_uniformity,target_met
finish_rule,32,0,1,2,3,69.748,76.433,69.748,69.748,76.433,76.433,6.433,0.886905,0.886905,0.886905,50.0,50.0,48.304,q_scratch,plausible_rework_candidate
finish_rule,32,0,1,2,4,69.71,76.474,69.892,69.744,76.684,76.513,6.474,0.889726,0.904296,0.892423,49.738,49.98,48.328,q_scratch,plausible_rework_candidate
finish_rule,32,0,1,3,0,75.153,76.772,75.153,75.153,76.772,76.772,6.772,0.910507,0.910507,0.910507,50.0,50.0,48.658,q_uniformity,target_met
finish_rule,32,0,1,3,1,75.43,76.548,75.43,75.43,76.548,76.548,6.548,0.894805,0.894805,0.894805,50.0,50.0,48.422,q_clearcoat,target_met
finish_rule,32,0,1,3,2,69.068,76.51,69.068,69.068,76.51,76.51,6.51,0.892194,0.892194,0.892194,50.0,50.0,48.383,q_scratch,plausible_rework_candidate
finish_rule,32,0,1,3,3,66.654,76.066,66.969,66.934,76.452,76.409,6.066,0.862329,0.888709,0.885744,49.513,49.957,47.897,q_scratch,plausible_rework_candidate
finish_rule,32,0,1,3,4,74.97,76.146,75.376,75.15,76.562,76.33,6.146,0.873061,0.901798,0.88567,49.048,49.51,47.668,q_clearcoat,target_met
finish_rule,32,0,1,4,0,75.052,76.827,75.248,74.985,77.03,76.758,6.827,0.914341,0.92878,0.909502,49.672,49.904,48.627,q_uniformity,target_met
finish_rule,32,0,1,4,1,75.667,76.572,75.763,75.662,76.67,76.567,6.572,0.896524,0.903314,0.896168,49.881,49.994,48.443,q_clearcoat,target_met
finish_rule,32,0,1,4,2,75.062,76.516,75.202,75.052,76.66,76.505,6.516,0.892651,0.90263,0.891885,49.821,49.987,48.378,q_uniformity,target_met
finish_rule,32,0,1,4,3,75.023,76.16,75.419,75.344,76.565,76.488,6.16,0.868727,0.896547,0.891225,49.143,49.596,47.68,q_clearcoat,target_met
finish_rule,32,0,1,4,4,74.865,76.48,75.068,74.814,76.69,76.427,6.48,0.894634,0.909333,0.890971,48.751,48.977,47.505,q_uniformity,target_met
finish_rule,36,0,1,0,0,74.249,76.806,74.249,74.249,76.806,76.806,6.806,0.912857,0.912857,0.912857,50.0,50.0,48.693,q_uniformity,target_met
finish_rule,36,0,1,0,1,74.318,76.064,74.963,74.948,76.731,76.716,6.064,0.861667,0.90764,0.906564,48.714,49.446,47.448,q_clearcoat,target_met
finish_rule,36,0,1,0,2,74.164,75.636,74.935,74.895,76.43,76.389,5.636,0.833177,0.886688,0.883835,47.031,47.804,45.668,q_clearcoat,target_met
finish_rule,36,0,1,0,3,74.139,75.576,74.726,74.589,76.18,76.039,5.576,0.829198,0.869585,0.860034,45.827,46.354,44.415,q_clearcoat,target_met
finish_rule,36,0,1,0,4,60.417,76.153,60.565,60.351,76.368,76.058,6.153,0.867751,0.882423,0.861319,45.387,45.563,44.166,q_ra,plausible_rework_candidate
finish_rule,36,0,1,1,0,76.114,76.926,76.114,76.114,76.926,76.926,6.926,0.921369,0.921369,0.921369,50.0,50.0,48.821,q_clearcoat,target_met
finish_rule,36,0,1,1,1,75.02,76.02,75.664,75.611,76.677,76.623,6.02,0.858719,0.903821,0.900043,48.749,49.471,47.427,q_clearcoat,target_met
finish_rule,36,0,1,1,2,74.592,75.539,75.385,75.326,76.347,76.287,5.539,0.826787,0.880955,0.876848,47.113,47.907,45.671,q_clearcoat,target_met
finish_rule,36,0,1,1,3,74.731,75.367,75.383,75.364,76.027,76.008,5.367,0.815582,0.859229,0.857912,45.948,46.534,44.407,q_clearcoat,target_met
finish_rule,36,0,1,1,4,60.299,75.878,60.52,60.355,76.196,75.959,5.878,0.849232,0.870644,0.854663,45.524,45.789,44.162,q_scratch,plausible_rework_candidate
finish_rule,36,0,1,2,0,75.153,76.828,75.153,75.153,76.828,76.828,6.828,0.914454,0.914454,0.914454,50.0,50.0,48.717,q_uniformity,target_met
finish_rule,36,0,1,2,1,74.93,75.891,75.527,75.494,76.501,76.466,5.891,0.850086,0.891547,0.889154,48.829,49.503,47.329,q_clearcoat,target_met
finish_rule,36,0,1,2,2,55.014,75.513,55.464,55.393,76.27,76.15,5.513,0.82509,0.875703,0.867534,47.312,48.067,45.781,q_scratch,plausible_rework_candidate
finish_rule,36,0,1,2,3,66.153,75.404,66.671,66.584,76.038,75.932,5.404,0.817992,0.859958,0.852833,46.241,46.818,44.667,q_scratch,plausible_rework_candidate
finish_rule,36,0,1,2,4,72.3,75.907,72.616,72.413,76.247,76.028,5.907,0.851177,0.874114,0.859301,45.855,46.148,44.489,q_scratch,target_met
finish_rule,36,0,1,3,0,75.397,76.72,75.397,75.397,76.72,76.72,6.72,0.906819,0.906819,0.906819,50.0,50.0,48.602,q_uniformity,target_met
finish_rule,36,0,1,3,1,62.611,76.074,63.017,62.929,76.624,76.506,6.074,0.862356,0.900152,0.8919,48.915,49.525,47.526,q_scratch,plausible_rework_candidate
finish_rule,36,0,1,3,2,63.19,75.527,63.694,63.694,76.194,76.194,5.527,0.826007,0.870506,0.870506,47.545,48.221,45.921,q_scratch,plausible_rework_candidate
finish_rule,36,0,1,3,3,71.577,75.656,72.08,71.933,76.203,76.043,5.656,0.834979,0.871653,0.860818,46.589,47.098,45.102,q_scratch,target_met
finish_rule,36,0,1,3,4,72.13,75.932,72.393,72.185,76.217,75.992,5.932,0.858547,0.877897,0.862567,46.248,46.501,44.875,q_scratch,target_met
finish_rule,36,0,1,4,0,74.615,76.731,74.615,74.615,76.731,76.731,6.731,0.907583,0.907583,0.907583,50.0,50.0,48.614,q_uniformity,target_met
finish_rule,36,0,1,4,1,74.867,76.107,75.355,75.255,76.608,76.505,6.107,0.864611,0.899013,0.891846,48.978,49.534,47.567,q_clearcoat,target_met
finish_rule,36,0,1,4,2,72.693,75.771,73.233,73.233,76.346,76.346,5.771,0.842116,0.880877,0.880877,47.73,48.316,46.214,q_clearcoat,target_met
finish_rule,36,0,1,4,3,71.802,75.743,72.198,72.178,76.173,76.151,5.743,0.840767,0.869622,0.868106,46.865,47.272,45.318,q_scratch,target_met
finish_rule,36,0,1,4,4,70.136,75.98,70.293,70.185,76.158,76.036,5.98,0.860416,0.872485,0.86418,46.558,46.721,45.085,q_scratch,target_met
finish_rule,43,0,1,0,0,75.1,76.674,75.356,75.119,76.937,76.692,6.674,0.903595,0.922156,0.90491,46.48,46.716,45.586,q_uniformity,target_met
