checkpoint,env,sequence,outcome,disposition,passes,best_observed_pass,best_observed_gu,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,thermal_damage_peak,quality_ok,safety_ok
model_bc_robot_tesla12p7.pt,43,0,success,success,1,1,71.4,61.89,71.4,0.154,1.383,1.645,1.116,41.63,37.65,0.022948,True,True
model_bc_robot_tesla12p7.pt,36,0,success,success,1,1,70.47,59.6,70.47,0.1813,1.804,1.626,1.071,44.04,39.04,0.030804,True,True
model_bc_robot_tesla12p7.pt,32,0,success,success,1,1,73.16,61.57,73.16,0.1399,1.097,1.031,0.53,47.63,37.72,0.019694,True,True
model_bc_robot_tesla12p7.pt,93,0,success,success,1,1,70.14,60.46,70.14,0.1778,1.491,1.613,0.946,40.86,37.81,0.044928,True,True
model_bc_robot_tesla12p7.pt,98,0,success,success,1,1,71.68,59.25,71.68,0.1959,1.309,0.995,0.468,38.3,38.09,0.051128,True,True
model_bc_robot_tesla12p7.pt,94,0,success,success,1,1,71.32,59.75,71.32,0.1111,1.168,1.374,0.789,41.04,39.3,0.066185,True,True
model_bc_robot_tesla12p7.pt,6,0,success,success,1,1,71.54,57.21,71.54,0.1462,1.379,1.536,0.896,38.69,39.08,0.031658,True,True
model_bc_robot_tesla12p7.pt,87,0,success,success,1,1,70.24,51.21,70.24,0.1594,1.354,1.396,0.708,39.25,39.13,0.063111,True,True
model_bc_robot_tesla12p7.pt,51,0,success,success,1,1,70.98,53.45,70.98,0.1648,1.19,1.247,0.538,37.97,39.21,0.065519,True,True
model_bc_robot_tesla12p7.pt,78,0,success,success,1,1,70.05,54.92,70.05,0.186,1.648,1.449,0.818,38.24,37.98,0.051755,True,True
model_bc_robot_tesla12p7.pt,73,0,success,success,1,1,70.27,52.78,70.27,0.1575,1.468,1.339,0.797,40.08,38.27,0.051558,True,True
model_bc_robot_tesla12p7.pt,27,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,70.56,49.99,70.56,0.2138,1.659,1.491,0.653,37.73,39.15,0.024978,False,True
model_bc_robot_tesla12p7.pt,44,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,71.21,46.52,71.21,0.2168,1.382,1.085,0.306,41.04,37.62,0.022029,False,True
model_bc_robot_tesla12p7.pt,31,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,72.6,63.04,72.6,0.2595,1.574,1.578,0.439,37.46,41.32,0.146274,False,True
model_bc_robot_tesla12p7.pt,2,0,success,success,2,2,71.37,47.91,71.37,0.1615,1.316,1.457,0.45,39.37,38.18,0.024733,True,True
model_bc_robot_tesla12p7.pt,97,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,70.92,65.22,70.92,0.3262,2.253,1.858,0.744,39.58,44.29,0.204615,False,True
model_bc_robot_tesla12p7.pt,13,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,71.12,59.79,71.12,0.2739,2.005,1.688,0.737,38.82,37.71,0.071531,False,True
model_bc_robot_tesla12p7.pt,47,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,72.09,58.11,72.09,0.2859,1.655,1.535,0.447,39.41,43.47,0.1137,False,True
model_bc_robot_tesla12p7.pt,52,0,success,success,2,2,71.28,56.74,71.28,0.1863,1.561,1.498,0.768,38.95,39.14,0.087077,True,True
model_bc_robot_tesla12p7.pt,65,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,69.64,55.01,69.64,0.2727,1.917,1.526,0.532,38.33,42.98,0.148515,False,True
model_bc_robot_tesla12p7.pt,74,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,69.75,55.51,69.75,0.3143,2.169,1.897,0.73,41.23,41.57,0.136633,False,True
model_bc_robot_tesla12p7.pt,81,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,71.82,49.01,71.82,0.2217,1.564,1.355,0.56,47.36,36.76,0.00512,False,True
model_bc_robot_tesla12p7.pt,62,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,70.78,52.23,70.78,0.2217,1.517,1.69,0.681,38.17,40.64,0.120989,False,True
model_bc_robot_tesla12p7.pt,10,0,success,success,2,2,72.04,53.79,72.04,0.1877,1.526,1.791,0.739,41.32,38.97,0.063532,True,True
model_bc_robot_tesla12p7.pt,84,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,70.53,49.6,70.53,0.3,1.861,1.739,0.605,38.56,38.69,0.05433,False,True
model_bc_robot_tesla12p7.pt,18,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,69.31,52.33,69.31,0.3177,1.861,1.738,0.518,40.41,45.94,0.199077,False,True
model_bc_robot_tesla12p7.pt,56,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,71.35,49.86,71.35,0.2401,1.726,1.702,0.49,37.3,37.93,0.018827,False,True
model_bc_robot_tesla12p7.pt,85,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,71.55,54.97,71.55,0.2696,2.083,1.744,0.656,39.73,37.94,0.022969,False,True
model_bc_robot_tesla12p7.pt,99,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,70.65,58.16,70.65,0.3633,2.495,1.914,0.702,41.11,43.07,0.14156,False,True
model_bc_robot_tesla12p7.pt,21,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,70.99,58.79,70.99,0.3408,2.0,1.746,0.516,39.57,39.83,0.06374,False,True
model_bc_robot_tesla12p7.pt,30,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,70.55,46.12,70.55,0.2638,1.737,1.522,0.428,37.8,39.1,0.045134,False,True
model_bc_robot_tesla12p7.pt,67,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,71.24,59.28,71.24,0.3114,1.931,1.656,0.646,37.36,41.7,0.163315,False,True
model_bc_robot_tesla12p7.pt,71,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,70.07,49.38,70.07,0.3365,2.191,1.914,0.584,41.29,46.78,0.258945,False,True
model_bc_robot_tesla12p7.pt,96,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,71.16,51.83,71.16,0.2911,1.883,1.598,0.556,38.07,38.12,0.031107,False,True
model_bc_robot_tesla12p7.pt,7,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,70.43,58.69,70.43,0.3504,2.138,1.919,0.597,37.98,41.63,0.141846,False,True
model_bc_robot_tesla12p7.pt,41,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,71.17,52.58,71.17,0.2114,1.551,1.817,0.653,42.92,39.08,0.03162,False,True
model_bc_robot_tesla12p7.pt,33,0,success,success,2,2,71.45,48.38,71.45,0.1572,1.127,1.56,0.433,46.9,39.97,0.091119,True,True
model_bc_robot_tesla12p7.pt,15,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,69.84,52.21,69.84,0.2435,1.696,1.559,0.499,36.93,41.2,0.164096,False,True
model_bc_robot_tesla12p7.pt,70,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,69.89,56.98,69.89,0.3169,2.014,1.48,0.471,39.28,44.95,0.132048,False,True
model_bc_robot_tesla12p7.pt,86,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,70.94,53.45,70.94,0.303,2.002,1.675,0.63,37.66,39.09,0.041621,False,True
model_bc_robot_tesla12p7.pt,1,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,71.6,52.13,71.6,0.281,1.813,1.759,0.585,36.88,37.67,0.01637,False,True
model_bc_robot_tesla12p7.pt,89,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,70.95,54.78,70.95,0.254,1.877,1.437,0.637,36.92,37.56,0.020996,False,True
model_bc_robot_tesla12p7.pt,35,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,70.15,43.28,70.15,0.2811,1.959,1.568,0.486,40.47,39.11,0.048736,False,True
model_bc_robot_tesla12p7.pt,54,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,69.54,47.53,69.54,0.3344,1.954,1.65,0.393,41.79,42.69,0.084285,False,True
model_bc_robot_tesla12p7.pt,23,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,68.67,53.98,68.67,0.3703,2.392,1.99,0.799,36.5,46.74,0.129976,False,True
model_bc_robot_tesla12p7.pt,39,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,70.63,49.25,70.63,0.2512,1.728,1.743,0.427,42.12,40.81,0.131609,False,True
