checkpoint,env,sequence,pass,tile_x,tile_y,gu_current,gu_optimistic_ceiling,gu_if_min_baseline,gu_if_cellwise_worst,gu_ceiling_if_min_baseline,gu_ceiling_if_cellwise_worst,ceiling_margin_to_target,q_clearcoat_current,q_clearcoat_min_baseline,q_clearcoat_cellwise_worst,clearcoat_initial_min_um,clearcoat_initial_mean_um,clearcoat_min_um,limiting_term_current,disposition
model_bc_robot_tesla12p7.pt,43,0,1,0,0,76.541,78.0,76.541,76.541,78.0,78.0,8.0,0.968161,0.982015,0.969148,46.48,46.716,46.184,q_uniformity,target_met
model_bc_robot_tesla12p7.pt,43,0,1,0,1,75.623,78.0,75.623,75.623,78.0,78.0,8.0,0.943155,0.966767,0.948941,46.736,47.155,46.179,q_uniformity,target_met
model_bc_robot_tesla12p7.pt,43,0,1,0,2,74.862,78.0,74.862,74.862,78.0,78.0,8.0,0.914301,0.938506,0.920951,47.28,47.738,46.218,q_uniformity,target_met
model_bc_robot_tesla12p7.pt,43,0,1,0,3,68.553,77.987,68.553,68.553,77.987,77.987,7.987,0.898108,0.917791,0.908623,47.778,48.168,46.317,q_scratch,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,43,0,1,0,4,70.282,77.917,70.282,70.282,77.917,77.917,7.917,0.892083,0.907351,0.904644,48.051,48.36,46.379,q_scratch,target_met
model_bc_robot_tesla12p7.pt,43,0,1,1,0,76.243,78.0,76.243,76.243,78.0,78.0,8.0,0.946724,0.972058,0.962477,45.782,46.204,45.341,q_uniformity,target_met
model_bc_robot_tesla12p7.pt,43,0,1,1,1,75.336,78.0,75.336,75.336,78.0,78.0,8.0,0.921432,0.955705,0.937764,45.969,46.563,45.261,q_uniformity,target_met
model_bc_robot_tesla12p7.pt,43,0,1,1,2,73.291,78.0,73.291,73.291,78.0,78.0,8.0,0.887564,0.924092,0.911424,46.353,47.026,45.112,q_uniformity,target_met
model_bc_robot_tesla12p7.pt,43,0,1,1,3,74.368,77.928,74.368,74.368,77.928,77.928,7.928,0.877634,0.913074,0.894755,46.676,47.35,45.227,q_uniformity,target_met
model_bc_robot_tesla12p7.pt,43,0,1,1,4,73.785,77.573,73.785,73.785,77.573,77.573,7.573,0.866644,0.90047,0.896694,46.826,47.482,45.151,q_scratch,target_met
model_bc_robot_tesla12p7.pt,43,0,1,2,0,75.616,78.0,75.616,75.616,78.0,78.0,8.0,0.926482,0.957105,0.952437,44.824,45.314,44.188,q_uniformity,target_met
model_bc_robot_tesla12p7.pt,43,0,1,2,1,75.739,78.0,75.739,75.739,78.0,78.0,8.0,0.901867,0.938971,0.929077,44.908,45.522,43.999,q_uniformity,target_met
model_bc_robot_tesla12p7.pt,43,0,1,2,2,75.846,78.0,75.846,75.846,78.0,78.0,8.0,0.865894,0.906495,0.90233,45.053,45.759,43.646,q_uniformity,target_met
model_bc_robot_tesla12p7.pt,43,0,1,2,3,59.693,77.867,59.693,59.693,77.867,77.867,7.867,0.849056,0.894144,0.890545,45.079,45.879,43.482,q_scratch,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,43,0,1,2,4,68.39,77.368,68.39,68.39,77.368,77.368,7.368,0.846017,0.894118,0.892243,45.042,45.898,43.45,q_scratch,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,43,0,1,3,0,58.226,78.0,58.226,58.226,78.0,78.0,8.0,0.921211,0.946811,0.946787,43.955,44.343,43.213,q_scratch,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,43,0,1,3,1,76.323,78.0,76.323,76.323,78.0,78.0,8.0,0.889217,0.920859,0.919296,43.882,44.376,42.783,q_uniformity,target_met
model_bc_robot_tesla12p7.pt,43,0,1,3,2,56.784,78.0,56.784,56.784,78.0,78.0,8.0,0.8667,0.907881,0.901842,43.698,44.349,42.437,q_scratch,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,43,0,1,3,3,58.552,77.797,58.552,58.552,77.797,77.797,7.797,0.850941,0.898582,0.885842,43.476,44.23,42.109,q_scratch,plausible_rework_candidate
