checkpoint,env,sequence,outcome,disposition,passes,best_observed_pass,best_observed_gu,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,thermal_damage_peak,quality_ok,safety_ok
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,success,success,1,1,71.54,57.21,71.54,0.1462,1.379,1.536,0.896,38.69,39.08,0.031657,True,True
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",13,0,fail_max_passes,best_safe_result_current_process_limit,2,2,70.34,59.79,70.34,0.2065,1.823,1.688,0.992,38.85,37.71,0.033403,False,True
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",10,0,success,success,2,2,70.44,53.79,70.44,0.1394,1.54,1.791,1.1,42.25,38.03,0.026197,True,True
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",2,0,success,success,2,2,70.4,47.91,70.4,0.1625,1.414,1.457,0.786,39.43,38.18,0.024733,True,True
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",7,0,fail_max_passes,best_safe_result_current_process_limit,2,2,70.8,58.69,70.8,0.235,1.98,1.919,1.053,39.02,37.05,0.010405,False,True
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",8,0,fail_max_passes,best_safe_result_current_process_limit,2,2,71.12,58.63,71.12,0.2107,1.651,1.726,0.776,37.54,38.37,0.047933,False,True
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",1,0,fail_max_passes,best_safe_result_current_process_limit,2,2,70.86,52.13,70.86,0.205,1.612,1.759,0.82,37.65,37.67,0.016374,False,True
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",15,0,fail_max_passes,best_safe_result_current_process_limit,2,2,68.52,52.21,68.52,0.2243,1.653,1.559,0.673,37.6,39.3,0.059794,False,True
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",4,0,fail_max_passes,best_safe_result_current_process_limit,2,2,69.44,51.78,69.44,0.2029,2.021,1.733,1.059,37.77,39.11,0.063836,False,True
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",11,0,fail_max_passes,best_safe_result_current_process_limit,2,2,68.98,46.44,68.98,0.2248,1.915,1.566,0.585,41.7,38.63,0.051964,False,True
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",0,0,fail_max_passes,best_safe_result_current_process_limit,2,2,65.73,44.05,65.73,0.2022,1.899,1.829,1.125,37.38,39.15,0.064187,False,True
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",9,0,fail_max_passes,best_safe_result_current_process_limit,2,2,69.2,47.75,69.2,0.1627,1.579,1.68,0.966,39.56,39.1,0.051504,False,True
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",14,0,fail_max_passes,best_safe_result_current_process_limit,2,2,69.75,53.13,69.75,0.1835,1.415,1.661,0.816,37.41,39.17,0.064729,False,True
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",5,0,fail_max_passes,best_safe_result_current_process_limit,2,2,69.24,46.59,69.24,0.2064,1.722,1.505,0.607,40.5,37.86,0.046699,False,True
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",3,0,fail_max_passes,best_safe_result_current_process_limit,2,2,67.99,45.11,67.99,0.227,1.89,1.634,0.724,43.74,39.16,0.064724,False,True
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",12,0,fail_max_passes,best_safe_result_current_process_limit,2,2,68.05,43.46,68.05,0.1938,1.693,1.843,0.849,40.75,39.15,0.064338,False,True
