checkpoint,env,sequence,pass,tile_x,tile_y,gu_current,gu_optimistic_ceiling,gu_if_min_baseline,gu_if_cellwise_worst,gu_ceiling_if_min_baseline,gu_ceiling_if_cellwise_worst,ceiling_margin_to_target,q_clearcoat_current,q_clearcoat_min_baseline,q_clearcoat_cellwise_worst,clearcoat_initial_min_um,clearcoat_initial_mean_um,clearcoat_min_um,limiting_term_current,disposition
zero_action,0,0,1,0,0,34.285,78.0,34.285,34.285,78.0,78.0,8.0,0.95761,0.95761,0.95761,40.0,40.0,39.576,q_ra,plausible_rework_candidate
zero_action,0,0,1,0,1,42.774,78.0,42.774,42.774,78.0,78.0,8.0,0.935051,0.935051,0.935051,40.0,40.0,39.351,q_scratch,plausible_rework_candidate
zero_action,0,0,1,0,2,47.917,78.0,47.917,47.917,78.0,78.0,8.0,0.926033,0.926033,0.926033,40.0,40.0,39.26,q_scratch,plausible_rework_candidate
zero_action,0,0,1,0,3,48.516,78.0,48.516,48.516,78.0,78.0,8.0,0.927128,0.927128,0.927128,40.0,40.0,39.271,q_scratch,plausible_rework_candidate
zero_action,0,0,1,0,4,76.592,78.0,76.592,76.592,78.0,78.0,8.0,0.930155,0.930155,0.930155,40.0,40.0,39.302,q_uniformity,target_met
zero_action,0,0,1,1,0,41.648,78.0,41.648,41.648,78.0,78.0,8.0,0.940911,0.940911,0.940911,40.0,40.0,39.409,q_ra,plausible_rework_candidate
zero_action,0,0,1,1,1,41.179,78.0,41.179,41.179,78.0,78.0,8.0,0.927909,0.927909,0.927909,40.0,40.0,39.279,q_ra,plausible_rework_candidate
zero_action,0,0,1,1,2,47.134,78.0,47.134,47.134,78.0,78.0,8.0,0.9172,0.9172,0.9172,40.0,40.0,39.172,q_scratch,plausible_rework_candidate
zero_action,0,0,1,1,3,40.076,78.0,40.076,40.076,78.0,78.0,8.0,0.920249,0.920249,0.920249,40.0,40.0,39.202,q_ra,plausible_rework_candidate
zero_action,0,0,1,1,4,58.945,78.0,58.945,58.945,78.0,78.0,8.0,0.919501,0.919501,0.919501,40.0,40.0,39.195,q_scratch,plausible_rework_candidate
zero_action,0,0,1,2,0,43.783,78.0,43.783,43.783,78.0,78.0,8.0,0.936716,0.936716,0.936716,40.0,40.0,39.367,q_scratch,plausible_rework_candidate
zero_action,0,0,1,2,1,38.787,78.0,38.787,38.787,78.0,78.0,8.0,0.927565,0.927565,0.927565,40.0,40.0,39.276,q_ra,plausible_rework_candidate
zero_action,0,0,1,2,2,65.727,78.0,65.727,65.727,78.0,78.0,8.0,0.925276,0.925276,0.925276,40.0,40.0,39.253,q_scratch,plausible_rework_candidate
zero_action,0,0,1,2,3,64.661,78.0,64.661,64.661,78.0,78.0,8.0,0.920058,0.920058,0.920058,40.0,40.0,39.201,q_scratch,plausible_rework_candidate
zero_action,0,0,1,2,4,40.58,78.0,40.58,40.58,78.0,78.0,8.0,0.921532,0.921532,0.921532,40.0,40.0,39.215,q_ra,plausible_rework_candidate
zero_action,0,0,1,3,0,58.094,78.0,58.094,58.094,78.0,78.0,8.0,0.929572,0.929572,0.929572,40.0,40.0,39.296,q_scratch,plausible_rework_candidate
zero_action,0,0,1,3,1,53.322,78.0,53.322,53.322,78.0,78.0,8.0,0.924268,0.924268,0.924268,40.0,40.0,39.243,q_scratch,plausible_rework_candidate
zero_action,0,0,1,3,2,57.463,78.0,57.463,57.463,78.0,78.0,8.0,0.915247,0.915247,0.915247,40.0,40.0,39.152,q_scratch,plausible_rework_candidate
zero_action,0,0,1,3,3,63.898,78.0,63.898,63.898,78.0,78.0,8.0,0.920517,0.920517,0.920517,40.0,40.0,39.205,q_scratch,plausible_rework_candidate
zero_action,0,0,1,3,4,50.242,78.0,50.242,50.242,78.0,78.0,8.0,0.9236,0.9236,0.9236,40.0,40.0,39.236,q_scratch,plausible_rework_candidate
zero_action,0,0,1,4,0,76.742,78.0,76.742,76.742,78.0,78.0,8.0,0.934296,0.934296,0.934296,40.0,40.0,39.343,q_uniformity,target_met
zero_action,0,0,1,4,1,76.886,78.0,76.886,76.886,78.0,78.0,8.0,0.928383,0.928383,0.928383,40.0,40.0,39.284,q_uniformity,target_met
zero_action,0,0,1,4,2,63.451,78.0,63.451,63.451,78.0,78.0,8.0,0.930086,0.930086,0.930086,40.0,40.0,39.301,q_scratch,plausible_rework_candidate
zero_action,0,0,1,4,3,41.563,78.0,41.563,41.563,78.0,78.0,8.0,0.926026,0.926026,0.926026,40.0,40.0,39.26,q_ra,plausible_rework_candidate
zero_action,0,0,1,4,4,55.017,78.0,55.017,55.017,78.0,78.0,8.0,0.926945,0.926945,0.926945,40.0,40.0,39.269,q_scratch,plausible_rework_candidate
zero_action,1,0,1,0,0,47.544,78.0,47.544,47.544,78.0,78.0,8.0,0.954743,0.968593,0.961433,42.008,42.182,41.631,q_scratch,plausible_rework_candidate
zero_action,1,0,1,0,1,65.763,78.0,65.763,65.763,78.0,78.0,8.0,0.928241,0.954495,0.944914,41.5,41.825,40.976,q_scratch,plausible_rework_candidate
zero_action,1,0,1,0,2,61.24,78.0,61.24,61.24,78.0,78.0,8.0,0.903753,0.941403,0.933085,40.659,41.103,40.034,q_scratch,plausible_rework_candidate
zero_action,1,0,1,0,3,46.898,78.0,46.898,46.898,78.0,78.0,8.0,0.912816,0.933562,0.929437,40.0,40.227,39.336,q_ra,plausible_rework_candidate
zero_action,1,0,1,0,4,61.04,78.0,61.04,61.04,78.0,78.0,8.0,0.931348,0.931348,0.931348,40.0,40.0,39.313,q_scratch,plausible_rework_candidate
zero_action,1,0,1,1,0,51.954,78.0,51.954,51.954,78.0,78.0,8.0,0.929459,0.960378,0.949264,42.244,42.652,41.759,q_scratch,plausible_rework_candidate
zero_action,1,0,1,1,1,53.533,78.0,53.533,53.533,78.0,78.0,8.0,0.900684,0.941073,0.939087,41.661,42.184,40.974,q_scratch,plausible_rework_candidate
zero_action,1,0,1,1,2,77.352,78.0,77.352,77.352,78.0,78.0,8.0,0.885285,0.931893,0.929,40.754,41.32,40.022,q_uniformity,target_met
zero_action,1,0,1,1,3,52.522,78.0,52.522,52.522,78.0,78.0,8.0,0.893449,0.922725,0.921645,40.0,40.328,39.227,q_scratch,plausible_rework_candidate
zero_action,1,0,1,1,4,52.375,78.0,52.375,52.375,78.0,78.0,8.0,0.922689,0.922689,0.922689,40.0,40.0,39.227,q_scratch,plausible_rework_candidate
zero_action,1,0,1,2,0,76.762,78.0,76.762,76.762,78.0,78.0,8.0,0.908302,0.952204,0.950698,42.9,43.524,42.284,q_uniformity,target_met
zero_action,1,0,1,2,1,55.711,78.0,55.711,55.711,78.0,78.0,8.0,0.886017,0.940478,0.939373,42.097,42.841,41.377,q_scratch,plausible_rework_candidate
zero_action,1,0,1,2,2,56.129,78.0,56.129,56.129,78.0,78.0,8.0,0.877608,0.933988,0.931433,40.982,41.687,40.257,q_scratch,plausible_rework_candidate
zero_action,1,0,1,2,3,43.335,78.0,43.335,43.335,78.0,78.0,8.0,0.877114,0.918275,0.917122,40.0,40.469,39.183,q_scratch,plausible_rework_candidate
zero_action,1,0,1,2,4,44.448,78.0,44.448,44.448,78.0,78.0,8.0,0.919769,0.919769,0.919769,40.0,40.0,39.198,q_scratch,plausible_rework_candidate
zero_action,1,0,1,3,0,60.69,78.0,60.69,60.69,78.0,78.0,8.0,0.904342,0.950404,0.950204,43.826,44.53,43.14,q_scratch,plausible_rework_candidate
zero_action,1,0,1,3,1,63.568,78.0,63.568,63.568,78.0,78.0,8.0,0.875661,0.937552,0.936455,42.688,43.585,41.896,q_scratch,plausible_rework_candidate
zero_action,1,0,1,3,2,61.122,78.0,61.122,61.122,78.0,78.0,8.0,0.874216,0.938965,0.936906,41.232,42.064,40.547,q_scratch,plausible_rework_candidate
zero_action,1,0,1,3,3,60.695,78.0,60.695,60.695,78.0,78.0,8.0,0.872289,0.920503,0.91873,40.0,40.553,39.205,q_scratch,plausible_rework_candidate
zero_action,1,0,1,3,4,76.762,78.0,76.762,76.762,78.0,78.0,8.0,0.92188,0.92188,0.92188,40.0,40.0,39.219,q_uniformity,target_met
zero_action,1,0,1,4,0,76.316,78.0,76.316,76.316,78.0,78.0,8.0,0.923219,0.958362,0.952412,44.66,45.218,44.05,q_uniformity,target_met
zero_action,1,0,1,4,1,77.308,78.0,77.308,77.308,78.0,78.0,8.0,0.897099,0.95729,0.950787,43.201,44.086,42.637,q_uniformity,target_met
zero_action,1,0,1,4,2,76.633,78.0,76.633,76.633,78.0,78.0,8.0,0.86957,0.937862,0.935966,41.404,42.299,40.695,q_uniformity,target_met
zero_action,1,0,1,4,3,77.045,78.0,77.045,77.045,78.0,78.0,8.0,0.875358,0.925204,0.925204,40.0,40.569,39.252,q_uniformity,target_met
zero_action,1,0,1,4,4,76.399,78.0,76.399,76.399,78.0,78.0,8.0,0.924421,0.924421,0.924421,40.0,40.0,39.244,q_uniformity,target_met
zero_action,2,0,1,0,0,36.797,78.0,36.797,36.797,78.0,78.0,8.0,0.957122,0.972046,0.958871,42.193,42.383,41.852,q_ra,plausible_rework_candidate
zero_action,2,0,1,0,1,61.11,78.0,61.11,61.11,78.0,78.0,8.0,0.939619,0.958492,0.950628,42.016,42.257,41.517,q_scratch,plausible_rework_candidate
zero_action,2,0,1,0,2,57.245,78.0,57.245,57.245,78.0,78.0,8.0,0.922648,0.943745,0.934485,41.737,42.005,41.077,q_scratch,plausible_rework_candidate
zero_action,2,0,1,0,3,68.489,78.0,68.489,68.489,78.0,78.0,8.0,0.928195,0.947318,0.936408,41.472,41.708,40.867,q_scratch,plausible_rework_candidate
